Graph Name,Graph Type,Graph Size,Graph Seed,Trial,Trial Seed,Algorithm,Success,Path Length,Longest Path Length,Time (seconds),Generations,GBS Used
Random_n15_3,Random,15,392,3,35262925,MS-SourceResolved-GA,1,15,15,0.0656590461730957,1,True
Random_n15_3,Random,15,392,4,35262926,MS-SourceResolved-GA,1,15,15,0.06443047523498535,0,True
Random_n15_3,Random,15,392,5,35262927,MS-SourceResolved-GA,1,15,15,0.0672304630279541,2,True
Random_n15_3,Random,15,392,6,35262928,MS-SourceResolved-GA,1,15,15,0.06471490859985352,0,True
Random_n15_3,Random,15,392,7,35262929,MS-SourceResolved-GA,1,15,15,0.0650780200958252,0,True
Random_n15_3,Random,15,392,8,35262930,MS-SourceResolved-GA,1,15,15,0.012259483337402344,19,True
Random_n15_3,Random,15,392,9,35262931,MS-SourceResolved-GA,1,15,15,0.012333393096923828,19,True
Random_n15_4,Random,15,492,0,35263922,SourceResolved-GA,1,15,15,0.04791426658630371,31,True
Random_n15_4,Random,15,492,1,35263923,SourceResolved-GA,1,15,15,0.0014431476593017578,0,True
Random_n15_4,Random,15,492,2,35263924,SourceResolved-GA,1,15,15,0.001440286636352539,0,True
Random_n15_4,Random,15,492,3,35263925,SourceResolved-GA,0,15,15,0.2976992130279541,200,True
Random_n15_4,Random,15,492,4,35263926,SourceResolved-GA,1,15,15,0.001466989517211914,0,True
Random_n15_4,Random,15,492,5,35263927,SourceResolved-GA,1,15,15,0.02083277702331543,13,True
Random_n15_4,Random,15,492,6,35263928,SourceResolved-GA,1,15,15,0.0014536380767822266,0,True
Random_n15_4,Random,15,492,7,35263929,SourceResolved-GA,1,15,15,0.0014414787292480469,0,True
Random_n15_4,Random,15,492,8,35263930,SourceResolved-GA,1,15,15,0.0029191970825195312,1,True
Random_n15_4,Random,15,492,9,35263931,SourceResolved-GA,1,15,15,0.001407623291015625,0,True
Random_n15_4,Random,15,492,0,35263922,MS-SourceResolved-GA,1,15,15,0.038192033767700195,61,True
Random_n15_4,Random,15,492,1,35263923,MS-SourceResolved-GA,1,15,15,0.06445980072021484,0,True
Random_n15_4,Random,15,492,2,35263924,MS-SourceResolved-GA,1,15,15,0.08365249633789062,13,True
Random_n15_4,Random,15,492,3,35263925,MS-SourceResolved-GA,1,15,15,0.06395626068115234,0,True
Random_n15_4,Random,15,492,4,35263926,MS-SourceResolved-GA,1,15,15,0.07026410102844238,4,True
Random_n15_4,Random,15,492,5,35263927,MS-SourceResolved-GA,1,15,15,0.012056112289428711,19,True
Random_n15_4,Random,15,492,6,35263928,MS-SourceResolved-GA,1,15,15,0.06878447532653809,3,True
Random_n15_4,Random,15,492,7,35263929,MS-SourceResolved-GA,1,15,15,0.01719188690185547,27,True
Random_n15_4,Random,15,492,8,35263930,MS-SourceResolved-GA,1,15,15,0.06387710571289062,0,True
Random_n15_4,Random,15,492,9,35263931,MS-SourceResolved-GA,1,15,15,0.06409764289855957,0,True
Random_n15_5,Random,15,592,0,35264922,SourceResolved-GA,1,15,15,0.023843765258789062,15,True
Random_n15_5,Random,15,592,1,35264923,SourceResolved-GA,1,15,15,0.015001535415649414,9,True
Random_n15_5,Random,15,592,2,35264924,SourceResolved-GA,0,15,15,0.29373884201049805,200,True
Random_n15_5,Random,15,592,3,35264925,SourceResolved-GA,1,15,15,0.0015265941619873047,0,True
Random_n15_5,Random,15,592,4,35264926,SourceResolved-GA,1,15,15,0.03292226791381836,21,True
Random_n15_5,Random,15,592,5,35264927,SourceResolved-GA,1,15,15,0.0015244483947753906,0,True
Random_n15_5,Random,15,592,6,35264928,SourceResolved-GA,1,15,15,0.008917808532714844,5,True
Random_n15_5,Random,15,592,7,35264929,SourceResolved-GA,1,15,15,0.0028617382049560547,1,True
Random_n15_5,Random,15,592,8,35264930,SourceResolved-GA,1,15,15,0.0074231624603271484,4,True
