n,graph_id,tau,sampler,schedule,accepted_samples,acceptance_rate%,success_rate%
20,28,1.0,quantum,single,64,12.8,30.0
20,28,1.0,quantum,multi,64,12.8,50.0
20,28,1.0,classical,single,93,18.6,40.0
20,28,1.0,classical,multi,93,18.6,40.0
20,28,0.95,quantum,single,49,9.8,50.0
20,28,0.95,quantum,multi,49,9.8,70.0
20,28,0.95,classical,single,73,14.6,50.0
20,28,0.95,classical,multi,73,14.6,70.0
20,28,0.9,quantum,single,36,7.2,40.0
20,28,0.9,quantum,multi,36,7.2,50.0
20,28,0.9,classical,single,58,11.6,80.0
20,28,0.9,classical,multi,58,11.6,40.0
20,28,0.8,quantum,single,26,5.2,40.0
20,28,0.8,quantum,multi,26,5.2,40.0
20,28,0.8,classical,single,28,5.6,50.0
20,28,0.8,classical,multi,28,5.6,50.0
30,28,1.0,quantum,single,109,21.8,80.0
30,28,1.0,quantum,multi,109,21.8,70.0
30,28,1.0,classical,single,132,26.4,100.0
30,28,1.0,classical,multi,132,26.4,100.0
30,28,0.95,quantum,single,74,14.8,70.0
30,28,0.95,quantum,multi,74,14.8,70.0
30,28,0.95,classical,single,98,19.6,60.0
30,28,0.95,classical,multi,98,19.6,80.0
30,28,0.9,quantum,single,57,11.4,80.0
30,28,0.9,quantum,multi,57,11.4,90.0
30,28,0.9,classical,single,68,13.6,70.0
30,28,0.9,classical,multi,68,13.6,80.0
30,28,0.8,quantum,single,35,7.0,70.0
30,28,0.8,quantum,multi,35,7.0,80.0
30,28,0.8,classical,single,46,9.2,70.0
30,28,0.8,classical,multi,46,9.2,70.0
30,16,1.0,quantum,single,92,18.4,70.0
30,16,1.0,quantum,multi,92,18.4,80.0
30,16,1.0,classical,single,137,27.4,70.0
30,16,1.0,classical,multi,137,27.4,80.0
30,16,0.95,quantum,single,63,12.6,50.0
30,16,0.95,quantum,multi,63,12.6,70.0
30,16,0.95,classical,single,90,18.0,70.0
30,16,0.95,classical,multi,90,18.0,80.0
30,16,0.9,quantum,single,53,10.6,80.0
30,16,0.9,quantum,multi,53,10.6,60.0
30,16,0.9,classical,single,66,13.2,70.0
30,16,0.9,classical,multi,66,13.2,80.0
30,16,0.8,quantum,single,29,5.8,80.0
30,16,0.8,quantum,multi,29,5.8,80.0
30,16,0.8,classical,single,33,6.6,70.0
30,16,0.8,classical,multi,33,6.6,90.0
30,2,1.0,quantum,single,100,20.0,80.0
30,2,1.0,quantum,multi,100,20.0,70.0
30,2,1.0,classical,single,121,24.2,50.0
30,2,1.0,classical,multi,121,24.2,70.0
30,2,0.95,quantum,single,74,14.8,60.0
30,2,0.95,quantum,multi,74,14.8,70.0
30,2,0.95,classical,single,84,16.8,80.0
30,2,0.95,classical,multi,84,16.8,70.0
30,2,0.9,quantum,single,55,11.0,50.0
30,2,0.9,quantum,multi,55,11.0,70.0
30,2,0.9,classical,single,66,13.2,60.0
30,2,0.9,classical,multi,66,13.2,60.0
30,2,0.8,quantum,single,46,9.2,70.0
30,2,0.8,quantum,multi,46,9.2,50.0
30,2,0.8,classical,single,51,10.2,60.0
30,2,0.8,classical,multi,51,10.2,80.0
30,30,1.0,quantum,single,99,19.8,80.0
30,30,1.0,quantum,multi,99,19.8,60.0
30,30,1.0,classical,single,119,23.8,50.0
30,30,1.0,classical,multi,119,23.8,60.0
30,30,0.95,quantum,single,67,13.4,50.0
30,30,0.95,quantum,multi,67,13.4,70.0
30,30,0.95,classical,single,75,15.0,70.0
30,30,0.95,classical,multi,75,15.0,60.0
30,30,0.9,quantum,single,54,10.8,50.0
30,30,0.9,quantum,multi,54,10.8,70.0
30,30,0.9,classical,single,56,11.2,40.0
30,30,0.9,classical,multi,56,11.2,80.0
30,30,0.8,quantum,single,39,7.8,80.0
30,30,0.8,quantum,multi,39,7.8,50.0
30,30,0.8,classical,single,35,7.0,70.0
30,30,0.8,classical,multi,35,7.0,60.0
30,10,1.0,quantum,single,102,20.4,80.0
30,10,1.0,quantum,multi,102,20.4,70.0
30,10,1.0,classical,single,125,25.0,70.0
30,10,1.0,classical,multi,125,25.0,70.0
30,10,0.95,quantum,single,66,13.2,60.0
30,10,0.95,quantum,multi,66,13.2,80.0
30,10,0.95,classical,single,86,17.2,70.0
30,10,0.95,classical,multi,86,17.2,90.0
30,10,0.9,quantum,single,44,8.8,80.0
30,10,0.9,quantum,multi,44,8.8,70.0
30,10,0.9,classical,single,67,13.4,70.0
30,10,0.9,classical,multi,67,13.4,80.0
30,10,0.8,quantum,single,26,5.2,50.0
30,10,0.8,quantum,multi,26,5.2,70.0
30,10,0.8,classical,single,32,6.4,40.0
30,10,0.8,classical,multi,32,6.4,60.0
30,8,1.0,quantum,single,89,17.8,70.0
30,8,1.0,quantum,multi,89,17.8,90.0
30,8,1.0,classical,single,107,21.4,90.0
30,8,1.0,classical,multi,107,21.4,80.0
30,8,0.95,quantum,single,62,12.4,70.0
30,8,0.95,quantum,multi,62,12.4,80.0
30,8,0.95,classical,single,81,16.2,80.0
30,8,0.95,classical,multi,81,16.2,80.0
30,8,0.9,quantum,single,44,8.8,90.0
30,8,0.9,quantum,multi,44,8.8,90.0
30,8,0.9,classical,single,58,11.6,90.0
30,8,0.9,classical,multi,58,11.6,70.0
30,8,0.8,quantum,single,32,6.4,60.0
30,8,0.8,quantum,multi,32,6.4,70.0
30,8,0.8,classical,single,31,6.2,90.0
30,8,0.8,classical,multi,31,6.2,80.0
30,21,1.0,quantum,single,87,17.4,50.0
30,21,1.0,quantum,multi,87,17.4,70.0
30,21,1.0,classical,single,107,21.4,60.0
30,21,1.0,classical,multi,107,21.4,60.0
30,21,0.95,quantum,single,60,12.0,60.0
30,21,0.95,quantum,multi,60,12.0,50.0
30,21,0.95,classical,single,75,15.0,40.0
30,21,0.95,classical,multi,75,15.0,60.0
30,21,0.9,quantum,single,47,9.4,40.0
30,21,0.9,quantum,multi,47,9.4,70.0
30,21,0.9,classical,single,49,9.8,70.0
30,21,0.9,classical,multi,49,9.8,70.0
30,21,0.8,quantum,single,28,5.6,50.0
30,21,0.8,quantum,multi,28,5.6,60.0
30,21,0.8,classical,single,34,6.8,30.0
30,21,0.8,classical,multi,34,6.8,70.0
30,23,1.0,quantum,single,93,18.6,40.0
30,23,1.0,quantum,multi,93,18.6,100.0
30,23,1.0,classical,single,117,23.4,80.0
30,23,1.0,classical,multi,117,23.4,90.0
30,23,0.95,quantum,single,63,12.6,60.0
30,23,0.95,quantum,multi,63,12.6,100.0
30,23,0.95,classical,single,84,16.8,60.0
30,23,0.95,classical,multi,84,16.8,70.0
30,23,0.9,quantum,single,52,10.4,100.0
30,23,0.9,quantum,multi,52,10.4,70.0
30,23,0.9,classical,single,55,11.0,40.0
30,23,0.9,classical,multi,55,11.0,70.0
30,23,0.8,quantum,single,27,5.4,70.0
30,23,0.8,quantum,multi,27,5.4,70.0
30,23,0.8,classical,single,39,7.8,60.0
30,23,0.8,classical,multi,39,7.8,90.0
20,10,1.0,quantum,single,59,11.8,0.0
20,10,1.0,quantum,multi,59,11.8,0.0
20,10,1.0,classical,single,84,16.8,0.0
20,10,1.0,classical,multi,84,16.8,0.0
20,10,0.95,quantum,single,38,7.6,0.0
20,10,0.95,quantum,multi,38,7.6,0.0
20,10,0.95,classical,single,60,12.0,0.0
20,10,0.95,classical,multi,60,12.0,0.0
20,10,0.9,quantum,single,27,5.4,0.0
20,10,0.9,quantum,multi,27,5.4,0.0
20,10,0.9,classical,single,45,9.0,0.0
20,10,0.9,classical,multi,45,9.0,0.0
20,10,0.8,quantum,single,23,4.6,0.0
20,10,0.8,quantum,multi,23,4.6,0.0
20,10,0.8,classical,single,26,5.2,0.0
20,10,0.8,classical,multi,26,5.2,0.0
20,29,1.0,quantum,single,65,13.0,0.0
20,29,1.0,quantum,multi,65,13.0,0.0
20,29,1.0,classical,single,82,16.4,0.0
20,29,1.0,classical,multi,82,16.4,0.0
20,29,0.95,quantum,single,51,10.2,0.0
20,29,0.95,quantum,multi,51,10.2,0.0
20,29,0.95,classical,single,64,12.8,0.0
20,29,0.95,classical,multi,64,12.8,0.0
20,29,0.9,quantum,single,40,8.0,0.0
20,29,0.9,quantum,multi,40,8.0,0.0
20,29,0.9,classical,single,46,9.2,0.0
20,29,0.9,classical,multi,46,9.2,0.0
20,29,0.8,quantum,single,17,3.4,0.0
20,29,0.8,quantum,multi,17,3.4,0.0
20,29,0.8,classical,single,26,5.2,0.0
20,29,0.8,classical,multi,26,5.2,0.0
30,5,1.0,quantum,single,84,16.8,60.0
30,5,1.0,quantum,multi,84,16.8,50.0
30,5,1.0,classical,single,114,22.8,90.0
30,5,1.0,classical,multi,114,22.8,100.0
30,5,0.95,quantum,single,58,11.6,80.0
30,5,0.95,quantum,multi,58,11.6,80.0
30,5,0.95,classical,single,77,15.4,50.0
30,5,0.95,classical,multi,77,15.4,90.0
30,5,0.9,quantum,single,42,8.4,90.0
30,5,0.9,quantum,multi,42,8.4,80.0
30,5,0.9,classical,single,53,10.6,60.0
30,5,0.9,classical,multi,53,10.6,80.0
30,5,0.8,quantum,single,26,5.2,70.0
30,5,0.8,quantum,multi,26,5.2,70.0
30,5,0.8,classical,single,38,7.6,80.0
30,5,0.8,classical,multi,38,7.6,60.0
30,4,1.0,quantum,single,92,18.4,80.0
30,4,1.0,quantum,multi,92,18.4,100.0
30,4,1.0,classical,single,133,26.6,80.0
30,4,1.0,classical,multi,133,26.6,80.0
30,4,0.95,quantum,single,60,12.0,90.0
30,4,0.95,quantum,multi,60,12.0,70.0
30,4,0.95,classical,single,95,19.0,100.0
30,4,0.95,classical,multi,95,19.0,70.0
30,4,0.9,quantum,single,46,9.2,80.0
30,4,0.9,quantum,multi,46,9.2,70.0
30,4,0.9,classical,single,68,13.6,100.0
30,4,0.9,classical,multi,68,13.6,70.0
30,4,0.8,quantum,single,29,5.8,90.0
30,4,0.8,quantum,multi,29,5.8,60.0
30,4,0.8,classical,single,37,7.4,90.0
30,4,0.8,classical,multi,37,7.4,80.0
30,6,1.0,quantum,single,100,20.0,80.0
30,6,1.0,quantum,multi,100,20.0,70.0
30,6,1.0,classical,single,106,21.2,60.0
30,6,1.0,classical,multi,106,21.2,60.0
30,6,0.95,quantum,single,67,13.4,60.0
30,6,0.95,quantum,multi,67,13.4,60.0
30,6,0.95,classical,single,71,14.2,60.0
30,6,0.95,classical,multi,71,14.2,100.0
30,6,0.9,quantum,single,53,10.6,50.0
30,6,0.9,quantum,multi,53,10.6,70.0
30,6,0.9,classical,single,52,10.4,50.0
30,6,0.9,classical,multi,52,10.4,50.0
30,6,0.8,quantum,single,31,6.2,50.0
30,6,0.8,quantum,multi,31,6.2,50.0
30,6,0.8,classical,single,35,7.0,60.0
30,6,0.8,classical,multi,35,7.0,60.0
30,19,1.0,quantum,single,91,18.2,80.0
30,19,1.0,quantum,multi,91,18.2,80.0
30,19,1.0,classical,single,125,25.0,90.0
30,19,1.0,classical,multi,125,25.0,90.0
30,19,0.95,quantum,single,58,11.6,60.0
30,19,0.95,quantum,multi,58,11.6,70.0
30,19,0.95,classical,single,91,18.2,70.0
30,19,0.95,classical,multi,91,18.2,70.0
30,19,0.9,quantum,single,45,9.0,80.0
30,19,0.9,quantum,multi,45,9.0,80.0
30,19,0.9,classical,single,63,12.6,70.0
30,19,0.9,classical,multi,63,12.6,90.0
30,19,0.8,quantum,single,31,6.2,70.0
30,19,0.8,quantum,multi,31,6.2,80.0
30,19,0.8,classical,single,33,6.6,80.0
30,19,0.8,classical,multi,33,6.6,80.0
30,11,1.0,quantum,single,113,22.6,50.0
30,11,1.0,quantum,multi,113,22.6,70.0
30,11,1.0,classical,single,94,18.8,60.0
30,11,1.0,classical,multi,94,18.8,70.0
30,11,0.95,quantum,single,81,16.2,50.0
30,11,0.95,quantum,multi,81,16.2,60.0
30,11,0.95,classical,single,73,14.6,70.0
30,11,0.95,classical,multi,73,14.6,80.0
30,11,0.9,quantum,single,62,12.4,60.0
30,11,0.9,quantum,multi,62,12.4,80.0
30,11,0.9,classical,single,57,11.4,60.0
30,11,0.9,classical,multi,57,11.4,90.0
30,11,0.8,quantum,single,36,7.2,60.0
30,11,0.8,quantum,multi,36,7.2,70.0
30,11,0.8,classical,single,29,5.8,50.0
30,11,0.8,classical,multi,29,5.8,80.0
30,18,1.0,quantum,single,93,18.6,50.0
30,18,1.0,quantum,multi,93,18.6,60.0
30,18,1.0,classical,single,118,23.6,70.0
30,18,1.0,classical,multi,118,23.6,50.0
30,18,0.95,quantum,single,63,12.6,50.0
30,18,0.95,quantum,multi,63,12.6,70.0
30,18,0.95,classical,single,94,18.8,40.0
30,18,0.95,classical,multi,94,18.8,30.0
30,18,0.9,quantum,single,47,9.4,50.0
30,18,0.9,quantum,multi,47,9.4,40.0
30,18,0.9,classical,single,66,13.2,60.0
30,18,0.9,classical,multi,66,13.2,80.0
30,18,0.8,quantum,single,30,6.0,60.0
30,18,0.8,quantum,multi,30,6.0,60.0
30,18,0.8,classical,single,38,7.6,60.0
30,18,0.8,classical,multi,38,7.6,40.0
30,14,1.0,quantum,single,99,19.8,80.0
30,14,1.0,quantum,multi,99,19.8,90.0
30,14,1.0,classical,single,118,23.6,90.0
30,14,1.0,classical,multi,118,23.6,70.0
30,14,0.95,quantum,single,70,14.0,80.0
30,14,0.95,quantum,multi,70,14.0,100.0
30,14,0.95,classical,single,86,17.2,60.0
30,14,0.95,classical,multi,86,17.2,90.0
30,14,0.9,quantum,single,50,10.0,90.0
30,14,0.9,quantum,multi,50,10.0,90.0
30,14,0.9,classical,single,71,14.2,70.0
30,14,0.9,classical,multi,71,14.2,90.0
30,14,0.8,quantum,single,30,6.0,80.0
30,14,0.8,quantum,multi,30,6.0,70.0
30,14,0.8,classical,single,36,7.2,100.0
30,14,0.8,classical,multi,36,7.2,70.0
30,3,1.0,quantum,single,81,16.2,80.0
30,3,1.0,quantum,multi,81,16.2,70.0
30,3,1.0,classical,single,117,23.4,70.0
30,3,1.0,classical,multi,117,23.4,80.0
30,3,0.95,quantum,single,60,12.0,50.0
30,3,0.95,quantum,multi,60,12.0,90.0
30,3,0.95,classical,single,84,16.8,80.0
30,3,0.95,classical,multi,84,16.8,60.0
30,3,0.9,quantum,single,47,9.4,80.0
30,3,0.9,quantum,multi,47,9.4,90.0
30,3,0.9,classical,single,61,12.2,70.0
30,3,0.9,classical,multi,61,12.2,90.0
30,3,0.8,quantum,single,27,5.4,60.0
30,3,0.8,quantum,multi,27,5.4,90.0
30,3,0.8,classical,single,35,7.0,60.0
30,3,0.8,classical,multi,35,7.0,60.0
30,9,1.0,quantum,single,98,19.6,100.0
30,9,1.0,quantum,multi,98,19.6,80.0
30,9,1.0,classical,single,118,23.6,90.0
30,9,1.0,classical,multi,118,23.6,90.0
30,9,0.95,quantum,single,72,14.4,100.0
30,9,0.95,quantum,multi,72,14.4,80.0
30,9,0.95,classical,single,81,16.2,80.0
30,9,0.95,classical,multi,81,16.2,90.0
30,9,0.9,quantum,single,49,9.8,100.0
30,9,0.9,quantum,multi,49,9.8,80.0
30,9,0.9,classical,single,64,12.8,70.0
30,9,0.9,classical,multi,64,12.8,60.0
30,9,0.8,quantum,single,29,5.8,80.0
30,9,0.8,quantum,multi,29,5.8,80.0
30,9,0.8,classical,single,45,9.0,70.0
30,9,0.8,classical,multi,45,9.0,80.0
30,20,1.0,quantum,single,99,19.8,0.0
30,20,1.0,quantum,multi,99,19.8,0.0
30,20,1.0,classical,single,90,18.0,0.0
30,20,1.0,classical,multi,90,18.0,0.0
30,20,0.95,quantum,single,61,12.2,0.0
30,20,0.95,quantum,multi,61,12.2,0.0
30,20,0.95,classical,single,53,10.6,0.0
30,20,0.95,classical,multi,53,10.6,0.0
30,20,0.9,quantum,single,47,9.4,0.0
30,20,0.9,quantum,multi,47,9.4,0.0
30,20,0.9,classical,single,41,8.2,0.0
30,20,0.9,classical,multi,41,8.2,0.0
30,20,0.8,quantum,single,31,6.2,0.0
30,20,0.8,quantum,multi,31,6.2,0.0
30,20,0.8,classical,single,26,5.2,0.0
30,20,0.8,classical,multi,26,5.2,0.0
30,26,1.0,quantum,single,97,19.4,90.0
30,26,1.0,quantum,multi,97,19.4,100.0
30,26,1.0,classical,single,112,22.4,70.0
30,26,1.0,classical,multi,112,22.4,100.0
30,26,0.95,quantum,single,71,14.2,90.0
30,26,0.95,quantum,multi,71,14.2,80.0
30,26,0.95,classical,single,81,16.2,100.0
30,26,0.95,classical,multi,81,16.2,80.0
30,26,0.9,quantum,single,51,10.2,90.0
30,26,0.9,quantum,multi,51,10.2,80.0
30,26,0.9,classical,single,63,12.6,90.0
30,26,0.9,classical,multi,63,12.6,80.0
30,26,0.8,quantum,single,31,6.2,100.0
30,26,0.8,quantum,multi,31,6.2,80.0
30,26,0.8,classical,single,51,10.2,90.0
30,26,0.8,classical,multi,51,10.2,90.0
30,13,1.0,quantum,single,101,20.2,70.0
30,13,1.0,quantum,multi,101,20.2,70.0
30,13,1.0,classical,single,127,25.4,70.0
30,13,1.0,classical,multi,127,25.4,90.0
30,13,0.95,quantum,single,74,14.8,70.0
30,13,0.95,quantum,multi,74,14.8,60.0
30,13,0.95,classical,single,83,16.6,50.0
30,13,0.95,classical,multi,83,16.6,80.0
30,13,0.9,quantum,single,59,11.8,90.0
30,13,0.9,quantum,multi,59,11.8,80.0
30,13,0.9,classical,single,69,13.8,80.0
30,13,0.9,classical,multi,69,13.8,100.0
30,13,0.8,quantum,single,38,7.6,70.0
30,13,0.8,quantum,multi,38,7.6,70.0
30,13,0.8,classical,single,42,8.4,80.0
30,13,0.8,classical,multi,42,8.4,60.0
30,25,1.0,quantum,single,88,17.6,100.0
30,25,1.0,quantum,multi,88,17.6,100.0
30,25,1.0,classical,single,114,22.8,70.0
30,25,1.0,classical,multi,114,22.8,90.0
30,25,0.95,quantum,single,66,13.2,90.0
30,25,0.95,quantum,multi,66,13.2,80.0
30,25,0.95,classical,single,81,16.2,70.0
30,25,0.95,classical,multi,81,16.2,90.0
30,25,0.9,quantum,single,52,10.4,90.0
30,25,0.9,quantum,multi,52,10.4,100.0
30,25,0.9,classical,single,54,10.8,70.0
30,25,0.9,classical,multi,54,10.8,90.0
30,25,0.8,quantum,single,30,6.0,90.0
30,25,0.8,quantum,multi,30,6.0,90.0
30,25,0.8,classical,single,39,7.8,70.0
30,25,0.8,classical,multi,39,7.8,100.0
