Graph Name,Graph Size,graph_seed,sampler_rng_seed,num_shots,accepted_samples,acceptance_rate%,mean_pairs_theory,subgraph_size_distribution,code_version
Random_n15_38,15,3892,3892,500,60,12.0,2.494,"4:5, 5:14, 6:20, 7:16, 8:2, 9:1, 10:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_39,15,3992,3992,500,69,13.8,2.3525,"4:2, 5:23, 6:21, 7:11, 8:6, 9:3, 10:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_40,15,4092,4092,500,67,13.4,2.3434,"4:6, 5:19, 6:25, 7:6, 8:7, 9:4",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_1,15,192,192,500,70,14.0,2.5425,"4:3, 5:18, 6:33, 7:4, 8:10, 9:1, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_2,15,292,292,500,91,18.2,2.8441,"3:1, 4:3, 5:23, 6:35, 7:10, 8:11, 9:7, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_3,15,392,392,500,63,12.6,2.3714,"4:2, 5:19, 6:26, 7:8, 8:6, 9:1, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_4,15,492,492,500,57,11.4,2.4922,"4:5, 5:19, 6:23, 7:5, 8:3, 9:1, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_53,15,5392,5392,500,59,11.8,2.3836,"4:2, 5:16, 6:27, 7:8, 8:3, 9:2, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_54,15,5492,5492,500,51,10.2,2.0446,"4:4, 5:18, 6:20, 7:6, 8:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_55,15,5592,5592,500,62,12.4,2.6389,"4:5, 5:15, 6:27, 7:7, 8:5, 9:2, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_56,15,5692,5692,500,65,13.0,2.2148,"4:6, 5:19, 6:24, 7:2, 8:11, 9:1, 10:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_5,20,642,642,500,88,17.6,2.3873,"4:1, 5:20, 6:41, 7:10, 8:12, 9:2, 11:1, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_6,20,742,742,500,75,15.0,2.2365,"4:3, 5:15, 6:33, 7:7, 8:12, 9:1, 10:2, 12:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
